t,x,y,z,xd,yd,zd,xdd,ydd,zdd,zdd_grav,atmos_pres
1.67,7.44348,0,62.1676,11.1704,0,86.6622,8.95485,0,59.6797,-9.79391,85.11
1.68,7.55519,0,63.0342,11.2599,0,87.2589,8.95973,0,59.6397,-9.7939,85.1009
1.69,7.66779,0,63.9068,11.3495,0,87.8553,8.96454,0,59.5996,-9.7939,85.0918
1.7,7.78128,0,64.7854,11.4392,0,88.4513,8.96927,0,59.5594,-9.7939,85.0827
1.71,7.89567,0,65.6699,11.5289,0,89.0469,8.97392,0,59.5192,-9.79389,85.0735
1.72,8.01096,0,66.5604,11.6186,0,89.6421,8.97849,0,59.4788,-9.79389,85.0642
1.73,8.12715,0,67.4568,11.7084,0,90.2369,8.98299,0,59.4384,-9.79389,85.0549
1.74,8.24423,0,68.3592,11.7982,0,90.8313,8.98741,0,59.3978,-9.79389,85.0455
1.75,8.36221,0,69.2675,11.8881,0,91.4253,8.99176,0,59.3572,-9.79388,85.036
1.76,8.48109,0,70.1817,11.978,0,92.0188,8.99603,0,59.3166,-9.79388,85.0265
1.77,8.60087,0,71.1019,12.068,0,92.612,9.00023,0,59.2758,-9.79388,85.0169
1.78,8.72155,0,72.028,12.158,0,93.2048,9.00319,0,59.226,-9.79388,85.0073
1.79,8.84313,0,72.9601,12.248,0,93.797,9.00608,0,59.1761,-9.79387,84.9976
1.8,8.96561,0,73.898,12.3381,0,94.3888,9.00889,0,59.1261,-9.79387,84.9878
1.81,9.08899,0,74.8419,12.4281,0,94.9801,9.01163,0,59.0761,-9.79387,84.978
1.82,9.21327,0,75.7917,12.5183,0,95.5708,9.01431,0,59.026,-9.79386,84.9681
1.83,9.33846,0,76.7474,12.6084,0,96.1611,9.01691,0,58.9759,-9.79386,84.9582
1.84,9.46454,0,77.7091,12.6986,0,96.7508,9.01945,0,58.9256,-9.79386,84.9482
1.85,9.59153,0,78.6766,12.7888,0,97.3401,9.02192,0,58.8754,-9.79385,84.9381
1.86,9.71941,0,79.65,12.879,0,97.9288,9.02432,0,58.825,-9.79385,84.928
1.87,9.8482,0,80.6292,12.9692,0,98.5171,9.02666,0,58.7746,-9.79385,84.9178
1.88,9.9779,0,81.6144,13.0595,0,99.1048,9.02893,0,58.7242,-9.79385,84.9076
1.89,10.1085,0,82.6055,13.1498,0,99.6921,9.03113,0,58.6736,-9.79384,84.8973
1.9,10.24,0,83.6024,13.2401,0,100.279,9.03327,0,58.623,-9.79384,84.8869
1.91,10.3724,0,84.6052,13.3304,0,100.865,9.03535,0,58.5724,-9.79384,84.8765
1.92,10.5057,0,85.6138,13.4208,0,101.451,9.03736,0,58.5217,-9.79383,84.866
1.93,10.6399,0,86.6283,13.5112,0,102.036,9.03932,0,58.4709,-9.79383,84.8555
1.94,10.775,0,87.6487,13.6015,0,102.621,9.04121,0,58.4201,-9.79383,84.8449
1.95,10.911,0,88.6749,13.692,0,103.205,9.04304,0,58.3692,-9.79382,84.8342
1.96,11.0479,0,89.707,13.7824,0,103.789,9.0448,0,58.3183,-9.79382,84.8235
1.97,11.1858,0,90.7448,13.8728,0,104.372,9.04651,0,58.2673,-9.79382,84.8127
1.98,11.3245,0,91.7886,13.9633,0,104.954,9.04816,0,58.2162,-9.79381,84.8018
1.99,11.4641,0,92.8381,14.0538,0,105.537,9.04975,0,58.1651,-9.79381,84.7909
