LAT,LON,x (m),y (m),Altitude AGL
-78.06258,38.39649,164.4444444445349,-40.449338404506314,1100.69376
-78.06258,38.39648,164.4444444445349,-40.679164190968855,1099.01736
-78.06258,38.39648,164.4444444445349,-40.679164190968855,1097.1276
-78.06257,38.39647,165.55555555599867,-40.909023749503014,1095.17688
-78.06256,38.39646,166.6666666658835,-41.13888368766246,1093.13472
-78.06255,38.39645,167.77777777734727,-41.36874400512076,1091.09256
-78.06248,38.39637,175.55555555601484,-43.20760453669594,1072.34736
-78.06242,38.39628,182.22222222163964,-45.27627795276677,1048.1767200000002
-78.06236,38.3962,188.8888888888434,-47.115141899237884,1021.35432
-78.06232,38.39609,193.3333333331196,-49.64343539256183,993.37368
-78.06228,38.39595,197.77777777739578,-52.86124001729602,965.48448
-78.06222,38.39583,204.44444444459955,-55.619493247425325,936.83328
-78.06204,38.39563,224.4444444446319,-60.217040354935584,884.89536
-78.06197,38.39553,232.22222222172047,-62.51576192205373,864.16896
-78.06191,38.39544,238.88888888892424,-64.58461804895163,843.1682400000001
-78.06187,38.39531,243.33333333320044,-67.57274165192123,825.12408
-78.06184,38.39522,246.66666666601284,-69.64146743342086,804.55008
-78.06182,38.39514,248.88888888894041,-71.48030405838699,788.5176
-78.06178,38.39506,253.33333333321661,-73.31926780302369,771.3878400000001
-78.06171,38.39499,261.1111111103052,-74.92858752365939,754.2276
-78.06164,38.39492,268.88888888897276,-76.53792583782635,737.49408
-78.06158,38.39485,275.55555555459756,-78.14721823699182,723.5037599999999
-78.06151,38.3948,283.3333333332651,-79.29690023484291,712.47
-78.06142,38.39476,293.3333333332813,-80.21688053004996,701.58864
-78.06133,38.39471,303.33333333329745,-81.36672398838222,691.134
-78.06101,38.39455,338.88888888908593,-85.04656244425554,655.7162400000001
-78.0609,38.39449,351.11111111045074,-86.42648061485211,643.6766400000001
-78.06078,38.3944,364.4444444448583,-88.49607612038555,631.5456
-78.06055,38.39423,389.99999999905157,-92.40544931242955,610.14864
-78.06046,38.39415,399.99999999906777,-94.24506383100481,600.42552
-78.06038,38.39407,408.8888888891991,-96.08462636346758,591.25104
-78.06028,38.39401,419.9999999991001,-97.4646359820883,582.4728
-78.06017,38.39396,432.22222222204385,-98.61487844048206,572.65824
-78.06005,38.39392,445.5555555548724,-99.53535032323414,562.72176
-78.05991,38.39388,461.11111111062854,-100.45600624346224,552.4804800000001
-78.05975,38.39384,478.8888888893123,-101.37685075457354,541.96488
-78.05958,38.39379,497.77777777788083,-102.52768668526767,531.02256
-78.05939,38.39373,518.888888889377,-103.908612315703,520.5679200000001
-78.05919,38.39367,541.1111111107579,-105.28966809915643,510.17424
-78.059,38.39359,562.222222222254,-107.13046880176354,500.3292
-78.0588,38.39351,584.444444443635,-108.97141711257251,490.54512000000005
-78.05862,38.39341,604.4444444436673,-111.27204507567274,480.5172
-78.05846,38.39332,622.2222222223511,-113.34264993290208,470.42832
-78.05832,38.39323,637.7777777781072,-115.41311894354963,460.15656
-78.05818,38.39315,653.3333333338634,-117.25372649758296,450.0372
-78.05808,38.39309,664.4444444437644,-118.63416110267397,439.91784
-78.05798,38.39303,675.5555555552443,-120.01461847482463,429.9204
-78.05777,38.39294,698.888888888089,-122.08595169574795,410.23032000000006
-78.05766,38.39293,711.1111111110328,-122.31697903207002,400.41576
-78.05753,38.39291,725.5555555553251,-122.77813439204455,391.30224
-78.05739,38.3929,741.1111111110813,-123.00947705538557,382.2192
-78.05724,38.39289,757.7777777783012,-123.24092672438111,372.55704
-78.05707,38.39288,776.6666666668698,-123.47258585219973,362.83392
-78.0569,38.39285,795.5555555554383,-124.16411853518215,353.53752000000003
-78.05672,38.39281,815.5555555554706,-125.08571055953713,343.99728
-78.05656,38.39278,833.3333333325754,-125.77718195833721,334.60944
-78.05637,38.39273,854.4444444440716,-126.92887183701983,325.89216000000005
-78.05621,38.39267,872.2222222227552,-128.31022737230919,317.47968
-78.05605,38.3926,889.99999999986,-129.92156901396405,309.00624
-78.05588,38.39255,908.8888888884286,-131.07315586725798,300.01464
-78.05572,38.39249,926.6666666671123,-132.45462182061294,290.71824
-78.05556,38.39244,944.4444444442171,-133.60616522429177,282.15336
-78.0554,38.39241,962.2222222213218,-134.29781495939173,274.71624
-78.05525,38.39237,978.8888888885417,-135.21933639545696,267.7668
-78.05511,38.39233,994.4444444442979,-136.1407682797347,260.57352000000003
-78.05499,38.39231,1007.7777777771265,-136.60205567737634,253.04496000000003
-78.05489,38.39227,1018.8888888886064,-137.52306940348655,245.76024
-78.05479,38.39223,1030.0000000000864,-138.44409830744323,238.87176
-78.05473,38.3922,1036.666666665711,-139.1347077690678,231.28224
-78.05467,38.39218,1043.333333332915,-139.59534819882998,223.44888000000003
-78.05463,38.39216,1047.7777777771912,-140.0557620956567,214.60968000000005
-78.05458,38.39214,1053.333333332931,-140.5162949504928,205.03896000000003
-78.05453,38.39212,1058.888888888671,-140.97683159974295,195.04152
-78.05449,38.39213,1063.3333333329472,-140.7473175308321,185.10504
-78.05445,38.39214,1067.7777777772235,-140.517801944208,175.38192
